no,constituency,mla,party,alliance,reserved,district
129,Mahnar,Bina Singh,RJD,MGB,,
130,Patepur,Lakhendra Kumar Raushan,BJP,NDA,SC,
131,Kalyanpur,,,,SC,
132,Warisnagar,Ashok Kumar,JD(U),NDA,,
133,Samastipur,Akhtarul Islam Sahin,RJD,MGB,,
134,Ujiarpur,Alok Kumar Mehta,RJD,MGB,,
135,Morwa,Ranvijay Sahu,RJD,MGB,,
136,Sarairanjan,Vijay Kumar Chaudhary,JD(U),NDA,,
137,Mohiuddinnagar,Rajesh Kumar Singh,BJP,NDA,,
138,Bibhutipur,Ajay Kumar,CPI(M),MGB,,
139,Rosera,Birendra Kumar,BJP,NDA,SC,
140,Hasanpur,Tej Pratap Yadav,RJD,MGB,,
141,Cheria-Bariarpur,,,,,
142,Bachhwara,Surendra Mehata,BJP,NDA,,
143,Teghra,Ram Ratan Singh,CPI,MGB,,
144,Matihani,Raj Kumar Singh,JD(U),NDA,,
145,Sahebpur Kamal,Sadanand Yadav,RJD,MGB,,
146,Begusarai,Kundan Kumar,BJP,NDA,,
147,Bakhri,Suryakant Paswan,CPI,MGB,SC,
148,Alauli,,,,SC,
149,Khagaria,Chhatrapati Yadav,INC,MGB,,
150,Beldaur,Panna Lal Singh Patel,JD(U),NDA,,
151,Parbatta,Sanjeev Kumar,JD(U),NDA,,
152,Bihpur,,,,,
153,Gopalpur,Narendra Kumar Niraj,JD(U),NDA,,
154,Pirpainti,Lalan Kumar,BJP,NDA,SC,
155,Kahalgaon,Pawan Kumar Yadav,BJP,NDA,,
156,Bhagalpur,Ajeet Sharma,INC,MGB,,
157,Sultanganj,Lalit Narayan Mandal,JD(U),NDA,,
158,Nathnagar,Ali Ashraf Siddiqui,RJD,MGB,,
159,Amarpur,,,,,
160,Dhoraiya,Bhudeo Choudhary,RJD,MGB,SC,
161,Banka,Ramnarayan Mandal,BJP,NDA,,
162,Katoria,Nikki Hembrom,BJP,NDA,ST,
163,Belhar,Manoj Yadav,JD(U),NDA,,
164,Tarapur,,,,,
165,Munger,Pranav Kumar Yadav,BJP,NDA,,
166,Jamalpur,Ajay Kumar Singh,INC,MGB,,
167,Suryagarha,,,,,
168,Lakhisarai,Vijay Kumar Sinha,BJP,NDA,,
169,Sheikhpura,,,,,
170,Barbigha,Sudarshan Kumar,JD(U),NDA,,
171,Asthawan,,,,,
172,Biharsharif,Sunil Kumar,BJP,NDA,,
173,Rajgir,Kaushal Kishore,JD(U),NDA,SC,
174,Islampur,Rakesh Raushan Yadav,RJD,MGB,,
