no,constituency,reserved,electors_2024,shifted_2024
222,Kutumba,SC,,
223,Aurangabad,,,
224,Rafiganj,,,
225,Gurua,,,
226,Sherghati,,,
227,Imamganj,SC,,
228,Barachatti,SC,,
229,Bodh Gaya,SC,,
230,Gaya Town,,,
231,Tikari,,,
232,Belaganj,,,
233,Atri,,,
234,Wazirganj,,,
235,Rajauli,SC,,
236,Hisua,,,
237,Nawada,,,
238,Gobindpur,,,
239,Warsaliganj,,,
240,Sikandra,SC,,
241,Jamui,,,
242,Jhajha,,,
243,Chakai,,,
